excellent	net	netDmg	damage_dealt	QLStats	sNet	sgNet	aNet	alias	games
3.37	-12.24	525.31	8883.08	-115.76	0.02	0.35	0.53	stripyツ	654.0
2.0	17.99	3449.89	8511.27	141.14	-0.5	0.3	0.52	Tier Z	1.0
3.0	-4.5	1689.96	9007.61	-27.09	-0.22	0.26	0.52	djo9	2.0
4.25	-0.5	2599.42	10266.46	183.34	0.29	0.53	0.52	M	4.0
3.2	-7.1	258.99	7831.08	-108.96	-0.03	0.41	0.51	PsY	25.0
3.0	-3.8	1621.08	8323.13	-52.77	-0.18	0.25	0.51	ksa	5.0
3.0	-44.99	-2186.8	7346.14	-523.22	-0.34	-0.0	0.51	.gissa	2.0
3.23	-11.87	-333.58	8526.2	-251.99	-0.07	0.42	0.51	djinx	1250.0
4.0	-0.71	885.96	9292.2	-24.29	0.2	0.55	0.5	^4u^3a^6Lasko^7	107.0
4.15	-2.25	1936.78	10537.27	99.52	0.23	0.67	0.5	d1zulya	20.0
3.51	2.71	2127.7	9538.1	77.36	-0.07	0.55	0.49	^5҉ ^7ark1	59.0
3.12	-3.65	600.39	7634.97	-45.26	0.08	0.32	0.49	anymal	648.0
4.51	8.09	3150.73	9896.32	295.39	0.1	0.64	0.48	shiieeet	90.0
3.11	0.33	1514.4	8306.22	129.02	0.3	0.49	0.48	latuch	9.0
3.01	30.2	1846.4	7044.24	311.84	0.15	0.64	0.47	phaze	6.0
3.99	0.97	1852.24	8934.79	71.79	-0.03	0.47	0.47	khan	169.0
1.33	-5.0	-60.65	6567.89	-104.17	0.36	0.29	0.46	Klyb	3.0
3.21	-12.21	157.72	8261.41	-138.57	0.08	0.41	0.46	zolee	19.0
3.65	1.87	1723.37	9126.14	52.25	-0.03	0.37	0.46	Karim	294.0
3.99	-3.96	1531.66	9294.09	46.2	0.11	0.53	0.45	BeukeR	593.0
4.07	8.27	2500.46	9232.06	150.73	0.01	0.53	0.45	touri^6Z^7t	217.0
2.71	-35.59	-1943.13	7924.43	-345.61	-0.07	0.18	0.45	^2razer ^7edge	1189.0
5.16	24.74	3196.63	9308.9	456.2	0.3	0.68	0.44	jaysson	56.0
2.96	-7.9	767.35	8176.35	-94.27	-0.08	0.27	0.43	^1n^2o^3o^4b^5i^6eone^4[solo]^7	249.0
3.29	-8.16	1196.77	8663.6	-61.43	-0.09	0.35	0.42	Ice	368.0
2.25	14.0	1111.39	6295.98	-155.29	-0.38	0.29	0.42	^4[^7ek^1.^7coda^4]^7	4.0
1.0	-23.99	-1335.57	6755.83	-428.69	-0.2	0.03	0.42	stommekat	1.0
3.27	-1.51	1386.73	8933.06	11.76	-0.04	0.43	0.42	Pettern	1789.0
2.95	-12.4	561.22	9069.02	-146.36	-0.13	0.37	0.41	Xer	18.0
4.67	11.77	3562.5	10603.88	326.67	0.05	0.63	0.41	cainite	39.0
3.0	-2.0	2304.26	9636.91	-3.61	-0.27	0.45	0.41	fogel	1.0
2.12	-20.49	-450.86	6869.55	-333.37	-0.31	0.09	0.41	Reeseend	8.0
4.57	-4.43	2536.49	10477.14	181.15	0.19	0.56	0.41	erk	30.0
4.67	-6.83	1481.79	9727.45	68.9	0.26	0.57	0.4	^4masterclaaars^7	12.0
4.04	-9.81	1975.69	10273.15	55.3	-0.0	0.5	0.4	^5A^7nn^64^7hilation	247.0
6.0	6.0	3603.84	12085.12	605.91	0.78	0.99	0.39	^4#1 ^7un^54^7x*	1.0
3.76	4.53	3125.11	10070.4	259.52	0.0	0.56	0.39	sizzrp	87.0
1.33	-21.33	-668.45	7386.3	-207.63	0.06	0.2	0.38	HANZO	3.0
3.41	2.94	1964.63	8660.71	108.87	-0.01	0.43	0.37	invi	1477.0
2.67	-20.33	137.29	7842.48	-321.86	-0.38	0.3	0.37	^3[ΠΝΔ] ^3xpe^6HOPE^3з^7	3.0
2.0	-11.55	139.18	6908.23	-383.31	-0.57	-0.02	0.37	vasho	9.0
2.86	2.43	2253.56	8966.77	79.77	-0.07	0.48	0.36	MaRceLLo	14.0
0.5	-25.37	-3024.15	4377.22	-709.76	-0.78	-0.03	0.36	^1DEICIDE^7	8.0
1.0	-61.98	-6511.91	3276.95	-832.58	-1.03	-0.36	0.36	Ugandalf The Black	1.0
4.08	6.15	1644.45	9045.29	15.42	-0.05	0.56	0.34	^1N^3e^2x^1on^360^2hz^7	215.0
3.29	-7.88	178.62	6469.57	-277.95	-0.31	0.23	0.34	Lambaro	7.0
1.0	-21.99	-2229.28	4790.46	-674.6	-0.84	-0.05	0.34	Kirreen	1.0
3.74	-4.48	675.4	8721.11	-110.87	-0.06	0.38	0.32	^7lici	392.0
3.13	-4.64	338.38	8089.66	-83.77	0.05	0.42	0.32	re4	567.0
0.0	-52.98	-5022.39	4042.7	-840.43	-1.22	-0.46	0.31	autobahnquake	1.0
1.0	-1.0	-442.86	5855.12	-473.71	-0.5	0.13	0.31	ddddemetrio	1.0
3.0	-28.99	-881.72	6566.89	-397.69	-0.22	0.22	0.3	gaesaeki	1.0
3.76	8.63	1245.4	8359.43	79.1	0.16	0.51	0.3	sno	165.0
2.5	-15.5	-34.16	8115.4	-251.66	-0.3	0.35	0.3	coffee	6.0
2.48	-19.13	-789.7	7650.55	-271.55	-0.12	0.21	0.3	drki	1457.0
1.17	-21.99	-682.45	6973.6	-367.13	-0.5	0.12	0.29	hmstx	6.0
3.85	-7.0	736.28	8912.9	-103.93	-0.03	0.47	0.29	bjqrn0	260.0
4.73	8.27	2644.51	9871.65	135.76	0.01	0.63	0.29	sou^1l^7reaver	11.0
3.74	5.52	1684.07	8750.92	114.18	0.05	0.52	0.29	^^0SheCanWait^7	23.0
5.11	18.14	3304.33	10493.51	258.72	0.11	0.69	0.29	^7T^14^7NKH	358.0
1.67	-9.33	-973.69	4876.77	-531.03	-0.66	-0.01	0.28	^7[^4U^1K^7]^7misterph	3.0
3.0	-23.99	189.94	7284.66	-218.66	0.01	0.19	0.28	quakenstein	1.0
3.5	-6.06	948.84	8809.85	-83.37	-0.1	0.41	0.28	gog	743.0
4.61	12.22	3242.46	10298.14	184.37	-0.07	0.67	0.27	OlegTopor2003	18.0
3.34	11.69	1135.14	7758.51	-13.8	-0.09	0.49	0.27	^1Lo^3ka^7rio	906.0
4.67	5.15	2445.47	10132.45	186.17	0.19	0.65	0.27	proZaC	18.0
1.95	-13.73	-670.7	6621.93	-296.46	-0.18	0.1	0.26	vishru	38.0
3.27	-7.11	752.31	8216.14	-84.55	-0.03	0.43	0.26	aireth	67.0
3.69	4.35	1727.28	8570.98	83.76	0.01	0.48	0.24	knz	99.0
3.42	-5.5	1309.44	9214.7	-58.1	-0.08	0.35	0.24	^4E^7teto	229.0
0.0	-7.0	574.82	4684.5	-87.64	0.32	0.14	0.24	ﬁﬁ	1.0
5.0	-1.0	3770.79	12530.98	257.76	0.02	0.7	0.24	distel	1.0
3.75	2.48	1403.18	8988.09	-27.56	-0.04	0.44	0.23	Hoebs	408.0
4.33	-5.67	1206.54	8786.6	-65.79	0.07	0.44	0.23	Q3predatoR.ru	9.0
2.5	-8.0	1154.13	9492.95	-49.05	-0.07	0.39	0.23	nettah	2.0
2.73	-12.35	-678.95	7115.14	-262.68	-0.1	0.23	0.22	phobos	374.0
3.05	-3.64	834.26	7719.47	-144.03	-0.21	0.28	0.22	^2h^3u^1e ^7melech^2e^7sh	699.0
3.19	-9.31	49.05	7965.82	-301.2	-0.37	0.29	0.22	PAINE	16.0
2.71	4.53	869.49	7232.76	-132.8	-0.29	0.18	0.22	Dday	17.0
3.28	-4.28	1032.24	8549.26	-165.68	-0.25	0.45	0.21	Lorm	7.0
4.27	-13.81	601.81	9128.53	-105.16	0.03	0.27	0.21	^7u^6l^7osen	11.0
1.8	-15.06	-696.44	6429.27	-401.12	-0.32	0.19	0.21	DUDA_PASKUDA	15.0
0.0	-29.99	-2414.23	4466.57	-625.75	-0.47	-0.09	0.21	Jolly	1.0
3.42	0.81	713.29	8183.97	-104.82	-0.1	0.42	0.2	so^1ph^7ia	1853.0
3.38	5.79	1285.67	8135.01	-11.29	-0.07	0.38	0.2	Tudermaci	167.0
3.06	-4.74	497.72	7720.4	-172.42	-0.2	0.25	0.2	BLuE	2797.0
4.6	8.2	4613.72	12542.97	544.7	0.23	0.78	0.2	Alostraz	5.0
1.8	-26.59	-1631.68	4198.65	-584.49	-0.66	-0.25	0.2	^1Fire^4Lotus^7	5.0
3.8	24.79	3828.17	8242.75	978.83	0.67	0.54	0.2	[eSport]zubich	5.0
3.8	-17.59	382.88	7472.4	15.58	0.34	0.19	0.2	SidiR	5.0
2.6	-12.6	-746.56	6151.23	-166.08	0.6	0.26	0.2	KosolapY	5.0
5.0	23.19	2974.25	7721.72	928.15	0.68	0.52	0.2	03	5.0
2.71	-12.79	292.58	7964.88	-183.67	-0.12	0.25	0.2	SodaJoe	595.0
0.0	-35.99	-3707.81	3767.79	-789.86	-1.14	-0.6	0.19	leonq3	1.0
3.2	16.59	4742.68	11128.63	746.11	0.45	0.81	0.18	ORIGIN	5.0
3.0	-5.4	413.35	7706.18	-185.69	-0.22	0.27	0.18	Smooth	492.0
4.08	4.64	1775.09	8921.44	66.84	-0.04	0.46	0.18	cha^1koala^7	1452.0
2.25	-11.25	954.94	8354.82	-190.5	-0.23	0.42	0.18	AUDIOVEGAS	4.0
2.89	2.11	1430.74	8273.9	-56.7	-0.11	0.41	0.16	empish	9.0
2.75	-1.5	1023.17	7905.21	-125.09	-0.43	0.38	0.16	katix111	4.0
4.67	21.99	2428.89	9105.74	232.51	0.2	0.73	0.15	^6KILLALOT^7	3.0
2.0	-11.5	706.27	6472.92	-295.8	-0.44	0.21	0.15	DrJ ♦	2.0
1.0	-15.99	-565.32	6623.87	-445.29	-0.53	0.08	0.15	badnews	2.0
5.57	32.34	3712.67	9634.02	696.98	0.48	0.76	0.15	luminus	7.0
2.39	-19.17	-1855.82	6753.05	-408.41	-0.21	0.12	0.15	^7f^4oo ^7p^41^7t	97.0
1.71	-27.95	-1811.63	7209.77	-393.23	-0.16	0.06	0.14	[*RCTM*].Youen	31.0
