steam_id	aWin	SE	games	alias
76561197963473315	0.44	0.98	6.0	hmstx
76561198155534749	0.44	1.18	1.0	quakenstein
76561198332980948	0.44	0.82	9.0	vasho
76561198043070738	0.43	0.17	215.0	^1N^3e^2x^1on^360^2hz^7
76561198155003669	0.42	0.12	567.0	re4
76561197988995240	0.41	3.37	3.0	^7[^4U^1K^7]^7misterph
76561198019672639	0.41	0.14	392.0	^7lici
76561198031267126	0.41	0.2	165.0	sno
76561198042968060	0.41	1.67	2.0	nettah
76561199024301816	0.4	0.8	9.0	Q3predatoR.ru
76561197993233912	0.4	0.58	18.0	proZaC
76561198159947488	0.39	0.16	260.0	bjqrn0
76561198200771114	0.39	2.37	1.0	ﬁﬁ
76561198113970099	0.38	0.9	7.0	Lorm
76561198256497752	0.38	0.52	23.0	^^0SheCanWait^7
76561198163827733	0.38	0.61	16.0	PAINE
76561198256265484	0.38	2.37	1.0	distel
76561198002370961	0.38	1.1	5.0	Alostraz
76561198083950618	0.37	0.31	67.0	aireth
76561198026872390	0.37	0.58	17.0	Dday
76561198267436829	0.37	0.62	15.0	DUDA_PASKUDA
76561198257420521	0.36	0.14	358.0	^7T^14^7NKH
76561197965308771	0.36	0.09	1457.0	drki
76561198030933162	0.34	0.1	906.0	^1Lo^3ka^7rio
76561198039145005	0.34	0.26	99.0	knz
76561198047715408	0.33	0.11	743.0	gog
76561198966814346	0.33	1.2	5.0	ORIGIN
76561198273670912	0.33	0.74	11.0	^7u^6l^7osen
76561198214970421	0.32	1.19	1.0	Jolly
76561198959359034	0.32	0.4	38.0	vishru
76561197968341051	0.31	1.38	3.0	^6KILLALOT^7
76561197972946521	0.3	1.22	4.0	oddi
76561198045002768	0.3	2.36	1.0	leonq3
76561198201751381	0.3	0.14	374.0	phobos
76561198153281479	0.3	1.69	2.0	badnews
76561198090165083	0.29	1.28	4.0	AUDIOVEGAS
76561198088925347	0.29	0.93	7.0	luminus
76561199074963248	0.29	1.29	4.0	katix111
76561197970742152	0.29	0.14	408.0	Hoebs
76561197960705576	0.29	0.87	9.0	empish
76561198256040915	0.28	0.2	167.0	Tudermaci
76561198345631230	0.28	1.72	2.0	STN
76561198257679175	0.28	0.18	229.0	^4E^7teto
76561198062007225	0.27	0.24	5.0	KosolapY
76561198161099111	0.27	0.24	5.0	03
76561198054367317	0.27	0.24	5.0	[eSport]zubich
76561198036667942	0.27	0.24	5.0	^1Fire^4Lotus^7
76561198057787818	0.27	0.24	5.0	SidiR
76561198132293228	0.27	0.12	595.0	SodaJoe
76561198155662969	0.27	0.08	1853.0	so^1ph^7ia
76561198258475383	0.25	0.08	2797.0	BLuE
76561198285680726	0.25	0.11	699.0	^2h^3u^1e ^7melech^2e^7sh
76561199143818171	0.24	0.72	11.0	zygnusX
76561197970397164	0.23	1.18	4.0	buff0x
76561198017950870	0.23	1.69	2.0	Shinobbi
76561198038270379	0.23	2.02	2.0	DrJ ♦
76561197960624184	0.23	0.44	31.0	[*RCTM*].Youen
76561197992793034	0.22	0.13	492.0	Smooth
76561198241584468	0.22	0.98	6.0	swd
76561198261798195	0.22	0.82	9.0	sinc
76561198109579696	0.21	0.09	1452.0	cha^1koala^7
76561198157555570	0.21	0.25	97.0	^7f^4oo ^7p^41^7t
76561198054844275	0.2	1.92	2.0	pavel
76561198061371412	0.19	0.82	9.0	oskid
76561198063443467	0.19	0.38	43.0	mirror🏴‍☠
76561197971701149	0.18	0.23	1.0	^1VK ^7PIRATA!
76561198069839493	0.18	0.23	1.0	Scucchi
76561198071771798	0.18	0.23	1.0	Punkà
76561198065587642	0.18	0.23	1.0	Tirek
76561198073796041	0.18	0.23	1.0	GZ.DECK
76561197960584986	0.18	2.42	1.0	infra
76561198022824589	0.17	1.71	2.0	Nimrod
76561198176224478	0.17	0.35	49.0	^7dib^1staah^7
76561197981773839	0.17	0.16	263.0	Valunya
76561198257496197	0.16	0.09	1201.0	^3CRYING LAUGHING ^1TOMATO^7
76561197970481333	0.16	0.4	39.0	aAa*RaOuL
76561198026705607	0.16	1.2	4.0	Sev1
76561198012604537	0.15	0.65	16.0	twitch.tv/xiphosnl
76561197970783081	0.15	1.11	5.0	^2unmd^7
76561197986714309	0.14	0.16	278.0	Dobez
76561198154954843	0.14	0.64	16.0	zoza
76561198061191813	0.13	1.67	2.0	real_grubby
76561198380825290	0.13	1.75	2.0	Dime
76561198257381346	0.13	0.75	10.0	tsk
76561198139617207	0.12	1.53	3.0	Skatos
76561197965138514	0.12	0.66	13.0	luis
76561197986931618	0.12	1.09	5.0	TARS
76561198274445121	0.11	0.45	33.0	aesick
76561197993968023	0.1	1.37	3.0	norm swex
76561199044683584	0.1	0.1	1147.0	Chet0
76561198278403238	0.1	0.11	719.0	like_u
76561198255927482	0.09	0.11	702.0	zhen
76561197990348465	0.08	1.96	1.0	Prophy
76561198208200276	0.07	0.16	290.0	spfx
76561198076904580	0.07	0.53	21.0	arronax
76561197978616110	0.06	1.19	4.0	??OléDéy
76561197971969567	0.05	0.47	26.0	TameR_
76561197992593520	0.05	0.38	48.0	Raven
76561198036924082	0.05	1.82	2.0	bzh
76561198257330241	0.04	0.27	90.0	tough maf
76561198164504646	0.03	1.4	3.0	Walker #0
76561198076357708	0.03	1.42	3.0	^3Paw^1U^3loN^7
76561198088011443	0.03	0.88	12.0	^5[^7sam^5.^7s^5p^7enzeR^5]^7
76561197970616509	0.03	0.1	1235.0	^1l^2u^3k^4a^5_^7
76561198273971593	0.02	0.24	115.0	Mattias
76561198103761198	0.02	1.77	2.0	FL1NF
76561198380154098	0.02	1.14	2.0	Rivalls
76561198914897304	0.02	0.14	418.0	^1VK^7
76561198153828917	0.01	0.97	6.0	bandit
76561197995121689	0.01	0.16	279.0	p5ych^10^7
76561198028202694	0.0	1.71	2.0	WadaWada
76561198399413614	-0.0	1.76	3.0	Krono3000
76561198149501776	-0.01	1.07	5.0	zigg
76561198057620153	-0.01	1.68	2.0	zenys
76561198149826058	-0.01	1.68	2.0	Kilraker
76561198081744891	-0.02	0.19	186.0	Parkas
76561199014355440	-0.02	0.4	43.0	Havar
76561198360758240	-0.04	1.01	6.0	ten
76561198031184737	-0.04	0.39	41.0	vuduu
76561198007088416	-0.05	0.7	13.0	waters
76561199164050811	-0.06	0.97	6.0	^1D^4OO^1M^7a™
76561198246535026	-0.07	0.11	806.0	t000
76561198062801450	-0.07	0.67	14.0	namemane
76561198014639632	-0.07	0.8	10.0	modus
76561198025846557	-0.07	0.34	60.0	ridgewater
76561198022133177	-0.08	0.8	9.0	cityy
76561198038197222	-0.08	0.98	6.0	kartmanio
76561198001420644	-0.08	0.29	76.0	woo
76561198827500718	-0.09	0.97	7.0	Vitur
76561198013882729	-0.09	1.47	4.0	Mayh
76561198022534637	-0.09	0.72	11.0	prodigy
76561198239142044	-0.1	2.48	1.0	SPART1E
76561198271334046	-0.1	0.76	10.0	^7^4hav^7
76561198010106923	-0.1	1.85	1.0	X^4!^7u
76561198233595132	-0.1	1.85	1.0	ziKo^6.^7
76561198155486441	-0.1	1.96	1.0	NikolaKG80
76561198257018686	-0.11	0.45	29.0	clueless
76561198257375722	-0.12	1.67	2.0	King_Karl
76561198000709233	-0.12	1.68	2.0	mushis
76561198059662449	-0.12	1.68	2.0	Corr
76561197988263579	-0.13	0.73	11.0	Regenbogenkotze
76561198257374234	-0.13	0.1	1089.0	^5sco^3rp^7
76561198018464471	-0.14	1.67	2.0	power3
76561198312901724	-0.14	1.37	3.0	dck
76561198282798832	-0.14	2.4	1.0	^1sory^7
76561198081117111	-0.15	0.21	143.0	evoldore
76561198151319268	-0.15	0.32	63.0	ΛятΞᴍIs4
76561197999128740	-0.15	2.37	1.0	Jesus
76561198825068298	-0.15	0.23	133.0	ari
76561198197628028	-0.16	1.19	4.0	Gabrielius
76561198068070185	-0.16	0.26	93.0	KungFool
76561198077231066	-0.16	1.39	4.0	Mike_Litoris
76561198131914112	-0.16	0.37	47.0	KaShiS
76561198078930075	-0.17	1.42	3.0	LeopolD
76561197993505667	-0.17	0.84	8.0	Meshhead
76561198031630398	-0.18	1.03	6.0	Caddy
76561198026324627	-0.18	2.54	1.0	c00L
76561197970834550	-0.18	0.53	21.0	Imperator_Valium
76561198257357451	-0.18	0.22	128.0	modul1c
76561198024038653	-0.18	2.79	1.0	Endreo
76561198258081111	-0.18	0.23	1.0	^1VK ^7Lv4Hell
