steam_id	aWin	SE	games	alias
76561198155003669	0.13	0.14	441.0	re4
76561198256841970	0.12	0.72	11.0	^5҉ ^7ark1
76561197986931618	0.12	1.09	5.0	TARS
76561198208200276	0.11	0.16	290.0	spfx
76561198155662969	0.11	0.1	1313.0	so^1ph^7ia
76561198186137302	0.11	2.43	1.0	Respa
76561198045504172	0.1	0.31	69.0	Felony
76561197981773839	0.1	0.17	263.0	Valunya
76561198257381346	0.1	0.75	10.0	tsk
76561198159947488	0.09	0.23	124.0	bjqrn0
76561197960584986	0.08	2.44	1.0	infra
76561198075628646	0.08	0.51	25.0	fo_tbh
76561198257496197	0.07	0.11	787.0	^3CRYING LAUGHING ^1TOMATO^7
76561198088011443	0.07	0.94	11.0	^5[^7sam^5.^7s^5p^7enzeR^5]^7
76561198241584468	0.07	0.98	6.0	swd
76561199074963248	0.06	1.38	4.0	katix111
76561198157555570	0.06	0.32	60.0	^7f^4oo ^7p^41^7t
76561198075079469	0.05	0.58	19.0	d1zulya
76561198090165083	0.05	1.34	4.0	AUDIOVEGAS
76561198205703741	0.04	1.67	2.0	oXI
76561199024301816	0.04	0.8	9.0	Q3predatoR.ru
76561198013196737	0.04	0.65	16.0	Photon
76561198031267126	0.04	0.54	32.0	sno
76561198132293228	0.04	0.14	427.0	SodaJoe
76561198057620153	0.03	1.68	2.0	zenys
76561197969854990	0.03	2.19	2.0	HANZO
76561198054844275	0.01	1.92	2.0	pavel
76561198058262913	0.01	1.66	2.0	Vuuda
76561197960705576	0.01	0.87	9.0	empish
76561198061191813	0.0	1.66	2.0	real_grubby
76561197986714309	0.0	0.4	47.0	Dobez
76561198149826058	0.0	1.68	2.0	Kilraker
76561198017950870	-0.0	1.69	2.0	Shinobbi
76561197970481333	-0.01	0.41	38.0	aAa*RaOuL
76561198022824589	-0.01	1.77	2.0	Nimrod
76561198257375722	-0.01	1.67	2.0	King_Karl
76561197965138514	-0.02	0.66	13.0	luis
76561198176224478	-0.02	0.35	49.0	^7dib^1staah^7
76561198018464471	-0.02	1.67	2.0	power3
76561198164482709	-0.02	1.71	2.0	Ťix
76561198246535026	-0.02	0.13	542.0	t000
76561197993233912	-0.02	0.62	18.0	proZaC
76561198151319268	-0.03	0.32	63.0	ΛятΞᴍIs4
76561198077231066	-0.03	1.38	4.0	Mike_Litoris
76561198000709233	-0.03	1.68	2.0	mushis
76561197970616509	-0.03	0.11	888.0	^1l^2u^3k^4a^5_^7
76561197965374315	-0.04	0.12	1390.0	^6kai^7 Vincent the ^3Beast^7
76561198256969692	-0.04	0.15	578.0	^710^1elo^7guy ^1SOMBRES^3PING^7
76561198336074607	-0.05	0.17	335.0	^3AC/DC ^7Charv
76561198024038653	-0.05	2.83	1.0	Endreo
76561198031184737	-0.06	3.31	1.0	vuduu
76561199164050811	-0.06	0.97	6.0	^1D^4OO^1M^7a™
76561199044212882	-0.06	1.7	2.0	Amitra
76561198257374234	-0.06	0.12	815.0	^5sco^3rp^7
76561198131914112	-0.07	0.37	47.0	KaShiS
76561198026324627	-0.07	2.53	1.0	c00L
76561199143818171	-0.07	0.72	11.0	zygnusX
76561198312901724	-0.07	1.37	3.0	dck
