steam_id	aWin	SE	games	alias
76561198043345474	1.29	0.04	168.0	cockroach
76561198033439430	1.26	0.03	756.0	MASTERMIND
76561198228590616	1.23	0.03	409.0	ph0en|X
76561198075628646	1.08	0.04	245.0	fo_tbh
76561198042268423	1.02	0.03	619.0	^7jc^4b^7
76561198010942011	0.99	0.21	6.0	^6deal ^7Silencep
76561198045866799	0.91	0.05	112.0	abso
76561197982671330	0.87	0.02	1629.0	Raist
76561198008234329	0.86	0.03	727.0	MAKIE
76561197983318796	0.85	0.05	150.0	FX
76561198114832578	0.85	0.04	198.0	kirson
76561198196618515	0.84	0.02	1484.0	Drayan
76561198146846857	0.83	0.05	116.0	Conan
76561198077156894	0.79	0.03	746.0	apex
76561198257362399	0.79	0.03	551.0	^2weed^6poof^7
76561198077163281	0.79	0.12	17.0	Zedem0n
76561198254687687	0.77	0.03	478.0	KRL
76561198013356693	0.76	0.02	784.0	HEADZ
76561197965938361	0.73	0.09	30.0	ᴴᴬᴴᴬ XDS
76561198028016604	0.72	0.03	614.0	^4d^7B^4d^7Bal^4d^7ur
76561198346024921	0.71	0.02	1059.0	^6A  P  H  3  X^7
76561198139067104	0.7	0.02	657.0	Fulgore
76561198214411141	0.7	0.04	156.0	Destiny
76561197964623506	0.69	0.08	43.0	^3[ΠΝΔ]DHZ^7
76561198107461408	0.68	0.02	1609.0	Dloobiq
76561198149540641	0.65	0.06	79.0	Cheddar Cheese Puffs
76561198122684842	0.65	0.03	583.0	Osnart
76561198068877542	0.64	0.03	406.0	unity
76561198106787712	0.61	0.02	882.0	^1r^2a^3n^4d^5a^6l^7l
76561197993861011	0.59	0.05	102.0	ani
76561197978345530	0.59	0.03	276.0	z1kWin
76561198049631090	0.59	0.02	956.0	twitch.tv/rashan0121
76561198023589138	0.59	0.05	137.0	ins
76561198834543007	0.58	0.02	1314.0	froz1k o_O
76561198279892880	0.58	0.02	935.0	r3cke
76561197985202252	0.57	0.05	138.0	diabz
76561198162507961	0.57	0.06	67.0	^7damn3d^4drew^7
76561199018105630	0.57	0.06	74.0	mingi
76561198002376252	0.56	0.04	210.0	monad
76561198257391553	0.56	0.03	307.0	vulTure
76561198256352933	0.55	0.05	127.0	om3n
76561198002515349	0.55	0.08	39.0	^2gogoplata^7
76561198038215627	0.55	0.05	129.0	esdf
76561198256203867	0.54	0.05	147.0	prestij
76561198088270117	0.54	0.05	95.0	pipeline
76561198257316780	0.54	0.03	577.0	tr1x0
76561198025670942	0.52	0.06	82.0	tripleSex
76561198258257656	0.51	0.02	951.0	massoth
76561198054868921	0.5	0.03	392.0	YNAM
